Player,Span,Matches,Innings,NotOuts,Runs,HighestScore,Average,BallsFaced,StrikeRate,100s,50s,0s,4s,6s,Country ,HighestScore_but_NotOut,StrikeRate > 60 ,Total_Year_Played
SR Tendulkar, 1989-2013 ,200,329,33,15921, 248* ,53.78, 29437+ ,54.04,51,68,14, 2058+ , 69,IND,248*,Less than 60 ,25
JE Root, 2012-2025 ,158,288,24,13543, 262 ,51.29, 23556 ,57.49,39,66,13, 1451 , 45,ENG,Out,Less than 60 ,14
RT Ponting, 1995-2012 ,168,287,29,13378, 257 ,51.85, 22782 ,58.72,41,62,17, 1509 , 73,AUS,Out,Less than 60 ,18
JH Kallis, 1995-2013 ,166,280,40,13289, 224 ,55.37, 28903 ,45.97,45,58,16, 1488 , 97,ICC/SA,Out,Less than 60 ,19
R Dravid, 1996-2012 ,164,286,32,13288, 270 ,52.31, 31258 ,42.51,36,63,8, 1654 , 21,ICC/IND,Out,Less than 60 ,17
AN Cook, 2006-2018 ,161,291,16,12472, 294 ,45.35, 26562 ,46.95,33,57,9, 1442 , 11,ENG,Out,Less than 60 ,13
KC Sangakkara, 2000-2015 ,134,233,17,12400, 319 ,57.4, 22882 ,54.19,38,52,11, 1491 , 51,SL,Out,Less than 60 ,16
BC Lara, 1990-2006 ,131,232,6,11953, 400* ,52.88, 19753 ,60.51,34,48,17, 1559 , 88,ICC/WI,400*,BC Lara (ICC/WI) ,17
S Chanderpaul, 1994-2015 ,164,280,49,11867, 203* ,51.37, 27395 ,43.31,30,66,15, 1285 , 36,WI,203*,Less than 60 ,22
DPMD Jayawardene, 1997-2014 ,149,252,15,11814, 374 ,49.84, 22959 ,51.45,34,50,15, 1387 , 61,SL,Out,Less than 60 ,18
AR Border, 1978-1994 ,156,265,44,11174, 205 ,50.56, 27002+ ,41.09,27,63,11, 1161 , 28,AUS,Out,Less than 60 ,17
SR Waugh, 1985-2004 ,168,260,46,10927, 200 ,51.06, 22461 ,48.64,32,50,22, 1175 , 20,AUS,Out,Less than 60 ,20
SPD Smith, 2010-2025 ,119,212,25,10477, 239 ,56.02, 19517 ,53.68,36,43,11, 1143 , 62,AUS,Out,Less than 60 ,16
SM Gavaskar, 1971-1987 ,125,214,16,10122, 236* ,51.12, 14184+ ,43.35,34,45,12, 908+ , 26,IND,236*,Less than 60 ,17
